,username,normalized_trust_score
968,canceriana123,0.01585019668335128
422,mariaj234567,0.01583624809542053
207,AmmarAuthor,0.015791993663946825
592,DILUNA,0.0157778588153508
782,willian,0.01575786298716069
1309,adrian271288,0.015560429628228739
1843,shekfen,0.015520596486252295
2292,omarc234,0.015512893299870815
1686,NataLee,0.015495173018310573
2617,semeolvida3,0.015482506523355987
1903,rasheeda,0.015437000605654136
140,yomairaa,0.01539580818922354
248,Angely,0.015395366676522028
2557,Ropero,0.015376582435135585
2244,Domster,0.015376582435135585
1786,mahdi,0.0153434667602977
1366,ANFYANDRE,0.015279378476169109
1821,mike0106,0.015218400395789157
1293,Biank,0.015205142607710453
957,Lisybeth,0.015194176129528168
2,TT,0.015194176129528168
5,AngelLove,0.015194176129528168
4,carol39,0.015194176129528168
1,Letizia,0.015194176129528168
1075,Mave,0.015194176129528168
732,Sahori35,0.015194176129528168
1631,dianafg,0.015194176129528168
1134,Lioness,0.015194176129528168
684,11111122,0.015170046723754141
2002,jackcote,0.015158271850653613
2125,Maricris,0.01514824479990178
233,yesimar,0.015106252695608169
1281,CarlosGH1,0.015074135993374413
1523,sky59,0.015029649099135489
1112,Lightningbug,0.014990733963703413
1313,jhan,0.014962461257603338
1620,gloria33,0.0149398315852483
1071,Josue,0.014912213761865691
2276,sweet83,0.014857077208399674
298,Ekaterina2022,0.014812869447202219
1993,tonys2345,0.014761523885714388
2114,panaitescuc,0.014761523885714388
2573,Lalu,0.014739430960580176
70,cheeky_girl,0.014647277249417117
570,Crispa,0.01463972475312642
569,Marira,0.01463972475312642
586,spokkes,0.014583139667838545
1529,Kejsi,0.014574557478199777
1322,marcj,0.014546636359378202
1407,dsingh,0.01454521424633751
1211,Clemson,0.01454019298915328
1580,lostwolove,0.014524199561429705
198,mercedes56,0.01451966901467205
1801,JC1234,0.014504953005427621
2789,indalo,0.014493302338922306
146,Sweetyvirgo,0.014492798653067709
533,gabi4417,0.014484296406306583
2095,jessen,0.014459760183154253
1536,Darkfly,0.01443853618683484
407,Nenad2015,0.014421379183508708
2969,analuhouston,0.014395762597168883
1329,maril2,0.014378411608655432
2900,amihari16,0.014345049443659325
3103,Andy1975,0.01433210914606626
2027,pauln23,0.014317304677544836
360,russianlove,0.014306073530688048
2626,elenaj,0.014303670471221134
2055,Jen2393,0.01428836931739124
2308,Cutiem38,0.01427545162559731
2369,Maurinho,0.01425343588598057
1149,maximomax,0.01422536505041579
2309,starling,0.014214264075105816
3204,jcglobal,0.014187503236867103
3332,bp,0.014130854669431753
2472,user_32242,0.014127836477254295
2751,juraj,0.01406453357963075
1346,Jaysin,0.014034975305523618
1050,maxi,0.01403493906423949
1561,gyasmines,0.014013842278408812
1178,mivasfer,0.014008614355961842
125,marialour,0.014005291754092456
1559,anar234,0.01398813021032967
2855,rasecs,0.013986837367416545
1955,Estela44,0.013958307731432728
416,javier2018,0.013916462748317444
1380,deanm,0.013899483829542073
1381,CigarShark,0.013899483829542073
2463,Minaj7,0.01385309812618498
2585,latinita,0.013839348964972497
2333,vernztan32,0.013815576016848108
105,user_37595,0.013814964149863435
2151,anniel,0.01373637893137695
2449,user_61231,0.01373637893137695
2441,brunela,0.01373637893137695
1697,Marinabella,0.013730659367104428
2832,stefanm,0.013724245875881596
3182,Stairway,0.013689052811448908
1364,Natalia58,0.013546328549624785
2210,Sadie2,0.01354197361761014
1548,Pantaleone533,0.013499073423210129
2115,Countryboy316,0.013342877768517298
316,beatea,0.013338011178722433
2404,shaliko,0.013316340399323725
1689,Sweet,0.013297499346818587
2466,lupitab,0.013244226715697655
2287,LaReina,0.013244226715697655
477,De123,0.01323726926443241
128,Hotrod45,0.013231315561288207
653,yurim2,0.013223864381787388
651,Cristell,0.013223864381787388
2298,alex1262,0.013209098582136636
294,Haique21,0.013180361996523676
292,andreap,0.013180361996523676
1749,Keljomarbe,0.013180361996523676
1874,Rosetattoo,0.013180361996523676
411,Greilys,0.013180361996523676
1613,Marthiux26,0.013180361996523676
2701,Cattleya,0.013180361996523676
2868,Nastasya,0.013180361996523676
1368,Aleji86,0.013180361996523676
1383,Zylvanaa,0.013180361996523676
1238,FiorelaR,0.013180361996523676
1290,user_47922,0.013155814844974278
234,lovenature,0.01296536466358833
1052,dixon43,0.012949919239048095
2812,rosmaryr,0.012912792383731752
846,taty89,0.012885556144480548
839,Critterkc,0.01287818246877565
1271,Leonardo19,0.012872193868650185
1392,Dharma1913,0.012863639451918882
603,Miry,0.012836541555656063
230,elida,0.012832804202859543
2928,fillo,0.012827578949369485
1460,Galia,0.012822523091724734
1179,Trang,0.012817984998066924
2073,Karl1990,0.012793105359932975
51,MimiRushel,0.012775266229446572
1427,banier,0.012762383931779595
1543,Finna,0.012753023700858481
321,Talihana,0.012752871505684285
2811,ghoshsandy3,0.012738395272241665
712,WaltMo,0.012736172806351443
1796,Arjun,0.01271171764919449
1797,edgari2,0.01271171764919449
376,gabrielad,0.012690907713435748
2432,Tarrick,0.01266873911383878
1170,adventurer55,0.01266873911383878
2443,tempusfugits,0.012636822425770718
2871,ABINAFLYN,0.012609413929568915
2341,fixit1966,0.01254347171408769
138,Enicibabymorena,0.012532141518937698
1397,Marietta,0.012525431795381394
1906,brandyve,0.012522191886610277
