Experiment,Average PCC Score
52262,21168.660638776157
54836,21132.382766649796
55337,21107.89203057979
56776,21107.87911827628
56956,21107.86795346988
56957,21107.86795346988
54283,21107.860002839174
52302,21063.410342129217
51255,21063.406719005958
56084,21063.385490023247
55865,21063.382488872146
50946,21063.356897448517
54759,21063.354659659515
52289,21063.337953338527
51257,21063.32702679892
51651,21063.300241586836
52496,21047.130258722147
54962,21047.091931575083
50980,21045.35820048976
51378,21043.991873387127
51551,21043.237223383432
51623,21043.23613448476
56227,21043.232819932553
55037,21043.231597135993
51840,21043.231459455514
53191,21043.230014241384
53226,21043.22796651493
54267,21043.227246864615
55718,21043.226257313556
54898,21043.225588766032
54454,21043.224828003174
55410,21043.22145506327
55017,21043.2200182945
54640,21043.21686533236
51118,21043.21681938815
51092,21043.21408210887
55957,21043.212757023968
51762,21043.212143697194
54910,21043.208703690463
55191,21043.205362696317
56341,21043.204693850177
52914,21043.203976527144
56717,21043.203921265973
55189,21043.203521748386
51947,21043.20237679489
52326,21043.200872363857
53760,21043.199998353863
51533,21043.199671997492
55568,21043.197999153595
54884,21043.19643908363
53295,21043.195020556384
56960,21043.19113582712
56961,21043.19113582712
56402,21043.19097306381
56063,21043.19062065462
53134,21043.18340059574
55219,21043.167997120698
55699,21009.279117291102
51763,21009.25193081436
54100,20980.70414821191
51036,20980.68401837351
54033,20980.66670871659
56307,20978.10646523574
54133,20978.09840709439
53067,20978.094388396956
56829,20978.09112999301
56225,20978.08226345364
54391,20978.079093536922
52708,20978.072063437743
54775,20978.06992789323
56627,20978.066818755375
56095,20978.065854777593
54747,20978.065446243494
56407,20978.058336947626
54592,20978.05109361257
51121,20978.04290691233
54324,20978.00603941389
51153,20975.86795414425
50960,20962.796782262027
54202,20962.794560445756
52808,20959.029190489262
51493,20948.171336611595
55240,20908.69708711567
55129,20908.688903269125
54862,20908.68879716735
54720,20908.68858508477
54751,20908.68858508477
55216,20908.677816569507
55498,20908.674071115027
53079,20908.672995936966
53771,20908.67260797144
52008,20908.655042344515
55821,20905.282737186273
56295,20905.282590986484
55960,20905.269965930962
53770,20905.2575038704
54643,20905.25448764351
55130,20905.254459776777
53680,20905.254226036817
54311,20905.252217623336
56913,20905.250024421206
56914,20905.250024421206
55906,20905.24974369297
55261,20905.24818735588
56790,20905.247119617266
53111,20905.239987708974
54948,20905.239030362904
54350,20905.236685804535
55457,20905.23593743505
55706,20905.22101866064
55285,20885.69175455592
55072,20885.659230658788
54104,20885.653088856277
53731,20885.648804814442
54828,20875.46927805774
52550,20846.178826470838
54812,20846.178605384328
55453,20846.17818111862
54906,20846.146424917162
51326,20836.263093625188
51884,20836.25185292212
51150,20836.251484332057
54188,20836.24930188111
53493,20836.243668855113
52032,20836.239448556436
56706,20836.237017796862
54513,20836.23496149432
55363,20836.23410374707
54409,20836.226480913305
53007,20836.22389073042
52871,20836.21331196033
55790,20836.20467895793
53841,20836.189022739483
52116,20823.96102414837
55069,20789.158376519008
56428,20785.455054534115
52399,20785.437850886337
52350,20785.435654266807
54561,20785.4347829409
51835,20785.4347677331
56339,20785.433930681167
53187,20785.4323894825
53681,20785.431672456707
56062,20785.42661581163
55921,20785.421619073033
53032,20785.420647720308
53328,20785.419410572435
51134,20785.414536461736
52506,20785.41450202531
56801,20785.41341430337
53755,20785.411918680264
53131,20785.41133068936
52010,20785.409423445388
54543,20785.40784256059
51773,20785.407292773983
53537,20785.40723054359
53473,20785.4071803434
55544,20785.404603440962
55976,20785.404100850286
53045,20785.40383646699
55404,20785.40326671413
54889,20785.402850858147
56318,20785.402749928282
55392,20785.402513214718
55292,20785.402331850863
54731,20785.402021910195
52578,20785.401577441888
51726,20785.401164523875
56777,20785.400686918987
55803,20785.40006854177
54777,20785.39977587185
55474,20785.3997565612
52232,20785.398916478163
56252,20785.39888430519
56129,20785.397723934213
52634,20785.397636014583
56580,20785.397477772614
53431,20785.39649608115
51291,20785.395819936522
55989,20785.39578599964
52407,20785.39472175693
53339,20785.3943705903
53365,20785.3943705903
55067,20785.393926146357
53288,20785.393440719814
54659,20785.39272163617
51114,20785.392717343206
54449,20785.392350771537
52751,20785.39226595265
52752,20785.39128318318
54353,20785.390795713443
55983,20785.390217346074
56927,20785.389827238774
56928,20785.389827238774
54229,20785.389382406676
51931,20785.388390948698
55692,20785.38794407787
53443,20785.38794298203
56398,20785.38756567078
54165,20785.38642418503
54498,20785.384915950995
53862,20785.384639511285
52368,20785.383564467862
54789,20785.38308603877
53529,20785.38191862367
53219,20785.381532810017
56714,20785.380929982606
52294,20785.380490283602
54426,20785.380416536784
55252,20785.380142193586
51856,20785.38004193184
54798,20785.379044876398
53323,20785.378649977072
56153,20785.378567741172
51256,20785.3752913797
53012,20785.373992761044
51846,20785.373637526558
55346,20785.372507817272
53717,20785.371928420187
51857,20785.3713018174
51266,20785.36972817746
50933,20785.367911122998
52273,20785.36368203851
53964,20785.363593511833
53663,20785.363289632656
54779,20785.361718686592
52451,20785.355573446264
52435,20785.351894740863
54937,20785.34342485727
53763,20785.340131134457
51522,20785.333726826677
55688,20785.332426369852
55137,20762.248595113702
53905,20761.95135060218
54216,20761.78015837759
51841,20752.068661349826
52346,20745.977221422763
56332,20745.08586401658
52050,20745.08212453998
54527,20745.071407806314
54509,20745.064011748695
51650,20745.054274313014
55768,20745.04789128145
53235,20745.03895057294
55372,20745.00444615029
54767,20701.686910459364
51454,20661.42821873884
56206,20661.42755608783
53542,20661.423598937698
50976,20661.41340511942
51563,20661.40805941055
54252,20661.40635195323
52964,20661.40515709815
56040,20661.402828991562
56388,20661.401365802718
54127,20661.401146131328
55423,20661.39950370464
51640,20661.397595190465
54218,20661.396707338747
53246,20661.3956146911
56429,20661.394163182158
52453,20661.393338366248
54584,20661.392460715582
56486,20661.391698505515
56653,20661.39126139893
54020,20661.390124270565
55258,20661.389636064574
51107,20661.38805840427
53721,20661.387293600674
56249,20661.38644155832
54144,20661.38637172778
55210,20661.386332946924
54770,20661.386325212567
55119,20661.38565783007
54397,20661.38555356149
52522,20661.384971082713
52138,20661.38372774644
54342,20661.382838885016
53612,20661.382697693676
54393,20661.381421493938
54784,20661.37998437768
51362,20661.37969768131
55021,20661.379690480964
54560,20661.378122366288
55747,20661.377507138408
53499,20661.374788767618
54969,20661.374194838023
54811,20661.37415117769
52911,20661.374047889116
50920,20661.373788110595
53314,20661.37364040371
54290,20661.373509685633
56878,20661.373093254188
56879,20661.373093254188
51053,20661.372699240215
51221,20661.372685608763
56317,20661.372239401862
55729,20661.37219748881
54725,20661.3721525594
55103,20661.37204482667
55895,20661.371805840954
55486,20661.37096201031
52349,20661.370213450664
55936,20661.370161744457
52035,20661.369675059253
56350,20661.368526492555
52628,20661.368422303458
55868,20661.36802101588
55554,20661.36792563247
52531,20661.36748780448
52409,20661.366953295026
53489,20661.366627839405
54327,20661.366091984713
55886,20661.366054746642
54228,20661.365925749826
52616,20661.36572385612
55546,20661.36570795898
51219,20661.365591783506
56608,20661.36440236083
53098,20661.363812515
54915,20661.363490879365
53002,20661.362673380252
54293,20661.36253972826
53081,20661.362276644075
55786,20661.362164245475
54499,20661.361887673436
51097,20661.36186146899
52851,20661.36181038606
54699,20661.361218293656
55040,20661.360927449423
54243,20661.360662102357
56947,20661.36029210769
56948,20661.36029210769
55848,20661.36013639252
56699,20661.360112981525
51972,20661.35992721478
54758,20661.359483730907
51213,20661.35904293572
51578,20661.358997751355
55091,20661.358955297073
54651,20661.358480048882
54488,20661.3583844412
52919,20661.35829331661
56626,20661.357797897894
54321,20661.357701587993
51119,20661.356965517454
53976,20661.356945654992
55744,20661.356906648412
51468,20661.356848700747
55075,20661.356577347375
54714,20661.35623249363
53212,20661.356125411294
53225,20661.355994312562
54255,20661.355681684065
52765,20661.355536649018
55846,20661.35540606226
51472,20661.355039478065
53822,20661.354802703587
51821,20661.354769919548
51828,20661.35451249881
52555,20661.354111571836
56939,20661.354082308295
56940,20661.354082308295
54464,20661.35397968637
52125,20661.35351743255
54238,20661.352957574294
52519,20661.352931816706
56452,20661.352803084843
55577,20661.352613120544
55102,20661.350914453236
51113,20661.35073663075
54818,20661.350696688263
53380,20661.350143449956
54036,20661.349993953998
52904,20661.349893182625
50992,20661.34949428055
55572,20661.34945084549
53122,20661.349065301685
51410,20661.34853265551
55534,20661.34810123113
51374,20661.348026707332
52884,20661.347901252582
54583,20661.347555140026
52686,20661.34749224257
52642,20661.34746048105
54346,20661.347283169795
54028,20661.347165484734
54663,20661.347106249334
51995,20661.3468360607
51228,20661.34659601069
52755,20661.34653833253
55677,20661.346369505765
52709,20661.34627823768
51937,20661.34610725945
53220,20661.346082163906
53016,20661.34583280557
52491,20661.34578096751
56783,20661.345704401014
55389,20661.345695589007
52811,20661.345641990283
52882,20661.345641990283
55880,20661.34523424189
54423,20661.34522348319
52412,20661.345187015984
51127,20661.344957090325
56373,20661.34489736973
53703,20661.344657448542
55061,20661.34393572115
54412,20661.343822483585
55648,20661.34356043022
51753,20661.34338857851
53136,20661.34337862171
55060,20661.343345385998
55321,20661.34264341531
54095,20661.34207585324
56695,20661.341433208923
55000,20661.34097846519
56123,20661.340865196016
53252,20661.340739253912
55139,20661.340407261705
51139,20661.34019935769
55560,20661.340151132787
51461,20661.33978966739
54881,20661.33953043567
53161,20661.33931878597
54965,20661.33900138562
53861,20661.338766676017
55160,20661.338755608755
54234,20661.338650995
52766,20661.338460712665
51905,20661.338196915258
51265,20661.33815659873
53040,20661.337648747005
53233,20661.337039216727
52845,20661.336785134095
53709,20661.336732212
56474,20661.336466859375
56719,20661.335952476955
55131,20661.335731541265
56807,20661.335673288402
50977,20661.33550368378
55991,20661.335422265034
55752,20661.335421261792
52431,20661.335310243478
51941,20661.3345675676
56479,20661.334561651256
54741,20661.33437273591
54783,20661.33437273591
54797,20661.333950684682
53142,20661.333799583997
55451,20661.333618452525
54983,20661.33357525619
55155,20661.333572481886
51202,20661.33294251066
53199,20661.332625197414
52199,20661.332600562822
56454,20661.331857936635
52774,20661.331835670266
52802,20661.33143786647
55564,20661.33135378981
52731,20661.331160952974
54909,20661.331146573226
52556,20661.330944126315
52194,20661.330661752534
51342,20661.33061602241
53966,20661.330164399267
52027,20661.32996811086
51843,20661.32995451474
51294,20661.32992852578
52866,20661.32971403083
56403,20661.329601951795
56586,20661.329439354704
51955,20661.32939392057
56525,20661.329287695615
56805,20661.32915303225
51254,20661.329091810458
56374,20661.32871623548
55715,20661.32831218038
51661,20661.327927057333
53078,20661.327744727103
52376,20661.3273363843
54419,20661.326840289723
55275,20661.326764988567
53531,20661.326665379584
53872,20661.32663363926
54001,20661.326567142103
53189,20661.326220360326
52372,20661.325963816642
54415,20661.325385039054
54802,20661.32504383957
51825,20661.324485335666
52421,20661.324402044636
52879,20661.324223147363
51214,20661.324143973405
52794,20661.3240584039
54687,20661.323983250382
55659,20661.32393759081
51145,20661.323767969563
53084,20661.323544345723
51331,20661.32343411488
53774,20661.323222056093
56711,20661.32290109143
53410,20661.322559755183
55356,20661.322228821995
54860,20661.3211670119
53240,20661.320492631563
56401,20661.320430221178
55266,20661.320306302514
53953,20661.320079448386
51673,20661.320005642632
55416,20661.31974020435
51859,20661.318624222517
51958,20661.31858764255
52122,20661.318398005005
52887,20661.31818663773
54175,20661.31746520858
54219,20661.316660148375
51962,20661.31519437794
54331,20661.315030161706
54721,20661.314207218198
55795,20661.314207218198
52644,20661.31378984812
53500,20661.312679120372
52885,20661.310936714926
52370,20661.309866455857
53867,20661.309225137426
54576,20661.309222872434
51949,20661.307730996523
55662,20661.307218037007
51250,20661.29127507784
53869,20645.547099471576
56158,20640.765125353435
53762,20623.411743355955
50924,20623.381768594845
51810,20612.784101885314
54644,20610.545833704513
53074,20572.548845116802
52296,20549.5320454017
54390,20548.00689554029
56974,20538.11802657505
56975,20538.11802657505
53464,20538.11800855316
56228,20538.11800855316
54693,20538.115580060512
54580,20538.115381428768
56521,20538.11534672498
54573,20538.11493517833
56366,20538.114881131754
55805,20538.1118368344
56387,20538.10799494407
56570,20538.10721035424
56422,20538.10717754144
52167,20538.10645161269
54452,20538.106064567495
55838,20538.104992427943
56326,20538.10445164662
52448,20538.10350010008
56372,20538.103472194554
52966,20538.102965109254
55958,20538.102643392565
56333,20538.102076850704
56786,20538.10184566721
56860,20538.10172560265
56861,20538.10172560265
53406,20538.10141740577
51823,20538.10057000033
50936,20538.099715628192
53948,20538.099208577336
54978,20538.09873194294
54263,20538.098637143074
53939,20538.09846001512
52148,20538.097077300314
53185,20538.09695298992
53344,20538.096512240067
54256,20538.096361928678
52217,20538.096239172886
54846,20538.095678696736
54984,20538.095639142786
54908,20538.095630889187
54511,20538.095467268322
55914,20538.09542197416
52046,20538.094784662986
56703,20538.094503131164
52458,20538.094398375277
55201,20538.094339865052
55113,20538.094314432117
53420,20538.093627725855
55670,20538.09359507253
53005,20538.0931994094
55536,20538.0931994094
52288,20538.093125351614
56005,20538.091955071555
56015,20538.091513063286
51862,20538.09145493032
55490,20538.09096268805
54967,20538.090869246338
51078,20538.090552661506
55340,20538.090452128843
55317,20538.08969177172
56455,20538.089628944264
52876,20538.089372768423
55735,20538.089342209954
53015,20538.08926941942
55956,20538.08925666515
53988,20538.08855733343
51349,20538.088086687658
54698,20538.08783228118
54682,20538.087740343464
54717,20538.087740343464
56541,20538.087367832537
54957,20538.087246807965
53351,20538.087071773458
51466,20538.086858403745
54861,20538.086485315416
56142,20538.086457949998
52179,20538.086400849883
53308,20538.086400849883
56286,20538.085600802813
53138,20538.085181787173
51408,20538.084903669627
56514,20538.08469922314
55954,20538.084040652117
56578,20538.083560083123
54418,20538.08353988087
55858,20538.083402404853
55955,20538.08337734015
55481,20538.08332502447
56813,20538.0831194546
52654,20538.083006218218
53725,20538.08286955697
51974,20538.082335362567
55902,20538.082301794268
54764,20538.081575041782
55883,20538.081430930106
51570,20538.081353339894
55009,20538.08108495443
52503,20538.081049147262
54637,20538.08098797456
54441,20538.080864127995
54768,20538.08062512088
51830,20538.080281018956
53346,20538.080170771962
55494,20538.079851349954
55943,20538.07982269329
51042,20538.079746275052
51746,20538.079623751597
53287,20538.079575479213
53753,20538.079513780056
52120,20538.079484846792
55993,20538.079248562546
56141,20538.07923364335
53358,20538.078936511818
53058,20538.078886575895
54201,20538.07885564833
53266,20538.07832005301
54918,20538.0782905044
54996,20538.0782905044
56215,20538.078269930815
54921,20538.078188233616
52648,20538.078130498172
56404,20538.078109620394
54330,20538.07793243952
53442,20538.077682804134
52331,20538.077594438633
54407,20538.077393158226
55274,20538.077259792375
55716,20538.077259792375
55879,20538.077259792375
55528,20538.077230479303
54052,20538.07721324549
51844,20538.07705231246
52040,20538.07696455146
53338,20538.076797743015
52514,20538.076697635777
52858,20538.076641193773
55903,20538.076530037277
51497,20538.07650965153
52930,20538.076473353623
54819,20538.07643549342
52197,20538.07641091211
54279,20538.076112341925
52009,20538.076044313882
53176,20538.075918761355
55320,20538.075854902294
51263,20538.075811996016
54469,20538.075397185876
52223,20538.075160417626
55042,20538.075045498947
54156,20538.075033199697
56173,20538.07502830438
55826,20538.074733625028
55200,20538.074373059433
55930,20538.07421797418
55596,20538.07419717442
55208,20538.074140481785
52572,20538.073843235143
51963,20538.073635215536
52118,20538.07332645574
52181,20538.07326610042
56426,20538.07320481931
53923,20538.072549231783
54381,20538.07245243228
55701,20538.072256872427
56868,20538.072191560073
56869,20538.072191560073
55949,20538.072174844165
53280,20538.072171739706
55446,20538.07188464218
55727,20538.07175715789
56273,20538.071743600834
53180,20538.07167433163
55825,20538.071626478217
56235,20538.071621025872
51178,20538.071399939385
54953,20538.071206579065
54517,20538.071092029877
55035,20538.07105461849
55444,20538.07100536153
53296,20538.071004503476
51405,20538.07097882809
55753,20538.070962881633
51597,20538.070961206507
53091,20538.070860204145
53706,20538.070789666086
54380,20538.070447922462
56972,20538.07036704403
56973,20538.07036704403
55910,20538.07024744652
52124,20538.069932275605
54424,20538.06981530265
53491,20538.0697431947
55472,20538.0697431947
56140,20538.0697431947
56390,20538.0697431947
56470,20538.0697431947
56701,20538.0697431947
52719,20538.069709517556
51831,20538.069427259936
56194,20538.069379868688
56303,20538.069182576888
51834,20538.069179734193
56962,20538.069134856683
56963,20538.069134856683
54602,20538.06906329233
56282,20538.06901568047
54523,20538.068948303327
50951,20538.06884475027
55702,20538.068799839268
52591,20538.068651989695
51152,20538.068500617173
51757,20538.068500617173
53151,20538.068500617173
51999,20538.068472993946
54118,20538.068471082857
52921,20538.06833977736
53030,20538.0683351471
53363,20538.06828949092
52940,20538.068116825383
51171,20538.068104390393
51881,20538.06807609035
56137,20538.067468110003
53352,20538.06743466336
53917,20538.067194128394
52358,20538.066948673462
54991,20538.066802663314
53014,20538.066709719205
54849,20538.066574605535
54856,20538.066371539142
52175,20538.06631197071
52612,20538.066203569753
53198,20538.066203569753
56057,20538.06614093809
55888,20538.0660746271
53398,20538.065945461647
54322,20538.06583447157
52552,20538.06578122435
51767,20538.065737375233
54615,20538.06561942204
51906,20538.065567234367
54515,20538.065514986643
52244,20538.06545138153
55646,20538.065428575148
54810,20538.064978740753
55445,20538.064765370895
51589,20538.06474317461
56320,20538.064600061804
55918,20538.064502290563
52275,20538.064490514997
52999,20538.064487318145
51978,20538.064481875346
50987,20538.064100715575
56240,20538.063996352845
54002,20538.063954119418
50970,20538.06390493029
54400,20538.063867206874
51739,20538.063797583593
56812,20538.06368984763
54365,20538.063613108312
54656,20538.063579238857
51976,20538.06353429661
51032,20538.0632006749
53498,20538.06314590379
50938,20538.063116023575
56159,20538.062632218247
54692,20538.06262485554
54920,20538.06262485554
55605,20538.06258941369
55847,20538.06258941369
54214,20538.062491507975
54887,20538.06239705928
52535,20538.062227462815
52432,20538.061980107053
51920,20538.061647902963
56716,20538.061497866576
53060,20538.06140633222
55443,20538.061395781973
51695,20538.06134341096
51696,20538.06134341096
52711,20538.06116132352
51918,20538.061159833218
51919,20538.061159833218
51430,20538.061094828685
51297,20538.060951374664
52442,20538.06086100695
51222,20538.06076651358
54502,20538.060608879674
52174,20538.060162102654
52753,20538.05993507341
55510,20538.059681797953
56125,20538.05953669582
54927,20538.059194075264
56412,20538.059152098267
53441,20538.05882466822
53313,20538.058796409427
54356,20538.05874001239
55049,20538.058682383817
54574,20538.058653380904
54009,20538.058390947444
56463,20538.0583492667
55178,20538.05816411881
54377,20538.057877748863
55651,20538.057463311223
53368,20538.057246730485
53592,20538.05716137641
55654,20538.057125830055
53418,20538.057021080553
56808,20538.056947316607
52437,20538.056659234957
53129,20538.056580003726
56448,20538.056556950192
51943,20538.05637612409
53838,20538.0562620637
53274,20538.056166912025
56826,20538.05614844467
54705,20538.05609398544
53070,20538.05532314372
51975,20538.055114488507
56468,20538.055069136513
56376,20538.05506276517
54035,20538.054986740302
56618,20538.054824935618
54439,20538.054709163265
55830,20538.054709163265
52487,20538.054550129444
54414,20538.054392671882
54533,20538.054339718023
55562,20538.054286325863
53793,20538.054212475825
55031,20538.053943832703
55149,20538.053935876487
53121,20538.05392230045
53330,20538.0538095553
51858,20538.05377922257
55641,20538.053705719783
54912,20538.05357422496
55567,20538.053564638445
53950,20538.05351472824
51061,20538.053426086393
52619,20538.05336682404
54595,20538.053077081542
54282,20538.05304556085
51679,20538.052853021512
51067,20538.052808142354
53434,20538.052523862345
51501,20538.052396131407
56393,20538.052340519876
53192,20538.051904863798
53047,20538.051876753347
55890,20538.051793647126
55947,20538.051487519526
51542,20538.05136616256
55315,20538.051046218658
53231,20538.051035884135
52246,20538.05080745167
51745,20538.05067487525
54531,20538.050663662987
51629,20538.05061516055
55592,20538.050135401143
50971,20538.050083184386
51776,20538.05005115297
55458,20538.049911993432
54520,20538.049875055767
52981,20538.049649106484
55523,20538.049649106484
52757,20538.049334382173
53057,20538.049290638588
52685,20538.049199092166
55362,20538.04915664541
54550,20538.048945540046
56844,20538.04887613428
56845,20538.04887613428
51579,20538.048871589235
55375,20538.04875409305
55052,20538.04875339409
54479,20538.048691181997
51464,20538.04844478704
51277,20538.048352507823
54169,20538.04823197942
52295,20538.048187045293
52323,20538.048099417294
52689,20538.048099417294
52994,20538.048099417294
54735,20538.04789197753
54337,20538.047428537615
55310,20538.047294877113
55897,20538.047292435484
56020,20538.047291894407
55322,20538.047255443227
56382,20538.047234176374
51883,20538.047181171925
56685,20538.047171024376
54661,20538.046945778056
56081,20538.046562038362
56381,20538.046547706086
51269,20538.046310526883
53462,20538.046184271614
51052,20538.045998648715
54916,20538.0457354381
51842,20538.044887053267
54514,20538.04455804546
54879,20538.044437351247
51449,20538.043817374535
53281,20538.043813971915
52565,20538.043743074137
51845,20538.043714084368
52590,20538.04342415507
54830,20538.043374286404
51560,20538.04323962611
52137,20538.043085296762
52021,20538.04286161508
56864,20538.042573690756
56865,20538.042573690756
51306,20538.042397987305
51555,20538.041908937157
56174,20538.04184606317
52674,20538.04148144868
53628,20538.04139942893
55831,20538.04112620725
55482,20538.040836596247
54289,20538.04076777475
56345,20538.040470171214
54961,20538.040365249497
55228,20538.04000977816
54379,20538.039787626676
53259,20538.03944091527
52087,20538.03885882792
54793,20538.038766158097
52177,20538.038520375463
52178,20538.038520375463
55001,20538.03809171876
53818,20538.038048169466
52643,20538.037740990323
53682,20538.037432158075
53068,20538.036946957312
51165,20538.036888500945
53526,20538.03687948172
54190,20538.03681467781
51619,20538.03654074356
53798,20538.03637879284
52586,20538.036343586115
56310,20538.0362973889
53724,20538.036266177758
53088,20538.03614873939
53578,20538.03506773825
51940,20538.03506675915
54762,20538.034943967774
51876,20538.034896587364
54221,20538.034264595673
52030,20538.034256038514
53556,20538.033881446856
53722,20538.033861715878
54701,20538.03334948116
51199,20538.033243621467
53106,20538.03316981491
53155,20538.033123089735
53525,20538.03306861739
54601,20538.033012514912
51983,20538.032468553425
54347,20538.032417366783
53356,20538.03207547266
56358,20538.03171870998
55251,20538.030864876848
52934,20538.030688608615
53436,20538.030503720795
52813,20538.029805436276
53642,20538.029705339297
54633,20538.029249636253
54192,20538.029128329268
51893,20538.029068781212
53073,20538.028678655
50968,20538.02794307175
52315,20538.027887529173
51465,20538.027861297323
52510,20538.027745094627
56842,20538.027081725682
56843,20538.027081725682
52516,20538.02697854385
53294,20538.02517746601
52877,20538.024392383228
54930,20538.024155737257
53570,20538.02399149715
54074,20538.02375130148
55307,20538.023680964074
52250,20538.02239740578
52669,20538.022087080655
52104,20538.021123949977
55226,20538.02081028835
55202,20538.02006822783
52029,20538.01986824026
56899,20538.01966269753
56900,20538.01966269753
53386,20538.01909317521
54110,20538.01768741574
55414,20538.016577318307
55693,20538.016577318307
53696,20538.016475732817
54302,20538.015831046978
52224,20538.01569260494
55298,20538.0137819758
52016,20538.012382176046
53318,20538.009662229313
50990,20537.999329741124
52499,20537.99429413236
53785,20537.98941858992
54220,20507.47391016901
53109,20487.285007955026
56510,20487.260458566834
55489,20487.26038448417
56152,20487.256721869016
55817,20487.23839429314
56603,20487.23814267088
55434,20487.236410657893
53362,20487.23330476603
52319,20487.229401965138
55938,20487.214303200406
55147,20487.20801784246
55539,20487.204719369616
55785,20487.17343398795
53757,20454.15163852489
53699,20452.812855798755
54710,20442.84720780098
54008,20405.683943697564
54443,20403.59699919456
54612,20403.594702657887
54678,20403.59105080901
56247,20403.58228320648
53509,20403.578056119608
55390,20403.576237047284
54986,20403.575889461274
55772,20403.574117899465
53096,20403.573797370285
54500,20403.572031319716
51779,20403.571615919347
56794,20403.570710890723
54608,20403.569667581236
52854,20403.56915203104
52690,20403.567860170755
56356,20403.567429431954
53508,20403.567006444522
50939,20403.56671329799
55678,20403.56645061629
54271,20403.56619578477
55579,20403.565544735866
56460,20403.56551766491
56047,20403.565182243183
54548,20403.563090288157
56437,20403.5627826744
53218,20403.56251910381
56572,20403.562095756133
52574,20403.56136346016
51873,20403.560903666574
55170,20403.560893051814
52665,20403.56083011601
51796,20403.560607668136
56313,20403.56001416849
56024,20403.55997828712
55616,20403.559341917084
56008,20403.559341917084
52389,20403.559037003088
56459,20403.558503366054
52486,20403.5581837112
54823,20403.55775999856
52423,20403.557020614153
53946,20403.55697896548
51617,20403.55678603364
52012,20403.55576172878
52667,20403.555565904637
56901,20403.55466824178
56902,20403.55466824178
56810,20403.55452019396
54774,20403.553879882013
53116,20403.55384172933
54582,20403.552996280174
55516,20403.55253082583
51556,20403.551971175002
56917,20403.551902344447
56918,20403.551902344447
55411,20403.551858376544
51832,20403.551726962007
51715,20403.551426037047
52704,20403.551181496674
54660,20403.550487204164
52829,20403.54973030633
55270,20403.54963071195
55555,20403.54932523886
52069,20403.549319603946
54251,20403.548870604885
52158,20403.548341645095
52905,20403.548341645095
52263,20403.547957393304
53364,20403.547559940438
51980,20403.547308030393
53042,20403.547224042046
52488,20403.546426697365
52819,20403.54576339981
51357,20403.544956361115
55165,20403.544554719283
51904,20403.543862606188
56160,20403.543356239457
53361,20403.54285456082
53143,20403.541727764146
55259,20403.540257475994
52880,20403.540064259232
54689,20403.53984070411
52990,20403.539776848895
51970,20403.538537021886
53372,20403.538318472856
52891,20403.537742492263
54461,20403.53708004914
54406,20403.536557863084
53023,20403.535777021425
52321,20403.535163874247
53152,20403.532903659332
55053,20403.530726628687
