,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,scam,age,word_count,unique_word_count,stop_word_count,mean_word_length,char_count
count,545.0,545.0,545.0,545.0,545.0,545.0,544.0,545.0,545.0,545.0,545.0,545.0
mean,53344.61100917431,53344.61100917431,53344.61100917431,53347.539449541284,1344.5633027522936,1.0,39.0827205882353,47.34311926605505,34.423853211009174,22.755963302752292,4.62356666033243,260.37798165137616
std,1839.1860379612272,1839.1860379612272,1839.1860379612272,1835.07698558346,977.2642092496012,0.0,11.283495466070566,71.67441751616616,38.322237868795334,36.280325629640764,0.9375736614841563,378.2363925271446
min,50931.0,50931.0,50931.0,50932.0,1.0,1.0,18.0,2.0,2.0,0.0,2.7735849056603774,15.0
25%,51676.0,51676.0,51676.0,51678.0,464.0,1.0,30.0,13.0,12.0,5.0,4.09375,75.0
50%,52916.0,52916.0,52916.0,52927.0,1233.0,1.0,37.0,28.0,24.0,13.0,4.487179487179487,162.0
75%,54999.0,54999.0,54999.0,55034.0,2046.0,1.0,49.0,56.0,44.0,28.0,4.948453608247423,312.0
max,56944.0,56944.0,56944.0,56905.0,3425.0,1.0,86.0,716.0,351.0,329.0,13.75,3681.0
