,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,scam,age,word_count,unique_word_count,stop_word_count,mean_word_length,char_count
count,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0
mean,54099.01651376147,54099.01651376147,54099.01651376147,54058.060550458715,1564.6807339449542,1.0,44.17064220183486,104.31192660550458,68.61284403669725,48.93761467889908,4.513582113607081,570.9192660550459
std,1698.1651304830632,1698.1651304830632,1698.1651304830632,1646.929982061228,862.4500523130337,0.0,10.99390960032208,101.2889083962911,52.2964771844523,51.032643080100804,0.5676245480541684,544.371923655295
min,50920.0,50920.0,50920.0,50921.0,2.0,1.0,21.0,4.0,4.0,1.0,3.142857142857143,18.0
25%,52708.0,52708.0,52708.0,52692.0,882.0,1.0,34.0,39.0,32.0,16.0,4.189024390243903,218.0
50%,54283.0,54283.0,54283.0,54293.0,1570.0,1.0,47.0,77.0,56.0,35.0,4.437908496732026,420.0
75%,55457.0,55457.0,55457.0,55395.0,2267.0,1.0,53.0,137.0,95.0,63.0,4.757281553398058,755.0
max,56961.0,56961.0,56961.0,56903.0,3423.0,1.0,68.0,837.0,379.0,403.0,8.545454545454545,4456.0
